Model,ROI_ID,x,y,z
GAT,1,464,384,45
GAT,2,784,1024,84
GAT,3,8880,3264,38
GAT,4,2480,2032,130
GAT,5,3328,2168,80
Person 1,1,463,487,30
Person 1,2,400,1140,55
Person 1,3,2733,1932,116
Person 1,4,2838,828,168
Person 1,5,5749,3483,135
Person 2,1,521,358,70
Person 2,2,800,1141,70
Person 2,3,2941,2138,175
Person 2,4,6263,3329,172
Person 2,5,8608,3162,172
Person 3,1,538,600,72
Person 3,2,3935,2199,72
Person 3,3,1258,737,134
Person 3,4,8666,3167,135
Person 3,5,2330,1072,135
Person 4,1,2501,2105,57
Person 4,2,517,400,78
Person 4,3,3300,1968,121
Person 4,4,8632,3200,141
Person 4,5,1839,2108,171
Person 5,1,2688,2111,74
Person 5,2,3535,1836,130
Person 5,3,499,831,94
Person 5,4,8663,3385,122
Person 5,5,3402,2705,171
Person 6,1,535,952,53
Person 6,2,3903,2224,66
Person 6,3,8538,3251,99
Person 6,4,6265,3435,147
Person 6,5,2942,2055,161
Person 7,1,1090,1040,100
Person 7,2,2514,1950,100
Person 7,3,3114,2142,50
Person 7,4,8200,3900,50
Person 7,5,8642,3400,50
Person 8,1,807,721,50
Person 8,2,2300,1900,50
Person 8,3,8772,3141,100
Person 8,4,6304,3202,100
Person 8,5,3056,1960,100
Person 9,1,8736,3217,100
Person 9,2,9041,3600,100
Person 9,3,2403,2307,100
Person 9,4,1146,1208,50
Person 9,5,591,389,50
